Id,Keywords,Authors,Accesses,Journal,main_topic_15
153,"['Optical fiber system', 'Generalized coupled Schrödinger equations', 'Darboux transformation', 'Symmetry breaking vector breather', 'Phase transition']",Bang-Qing Li,0,Optical and Quantum Electronics,Philosophy
154,"['Gametocyte', 'Anopheles', 'Mosquitoes', 'Malaria', 'Activation', 'Falciparum', 'Transmission']","Harouna M. Soumare, Ahmad Abdullahi, Lamin Jadama, Muhammed M. Camara, Pa Modou Gaye, Michael Mendy, Nwakanma Davis & Umberto D’Alessandro",0,Malaria Journal,Psychology
155,"['Sleep', 'Chronotype', 'Adolescence', 'Risky behaviors', 'Substance use']",Maira Karan & Andrew J. Fuligni,397,Journal of Youth and Adolescence,Psychology 2
156,"['soil respiration', 'soil microbial biomass carbon', 'precipitation', 'temperature', 'Inner Mongolian grassland']",Yingqiu Cao & Zhen Zhang,109,Chinese Geographical Science,Geography 2
157,"['AOMedia video 1', 'High efficiency video coding', 'Video transcoding', 'Video coding']","Alex Borges, Bruno Zatt, Marcelo Porto & Guilherme Correa",44,Journal of Real-Time Image Processing,Computer Science
158,"['Effects of conviction', 'Effects of incarceration', 'Labeling theory', 'Mental health', 'Propensity score matching']",Jessica M. Craig,742,Journal of Experimental Criminology,Mathematics
159,"['Climate change', 'Flood hazard mapping', 'MIKE FLOOD', 'SWAT', 'Ethiopia']","Muluken Abera Robi, Adane Abebe & Santosh Murlidhar Pingale",377,Applied Geomatics,Philosophy
160,"['2D Gravity', 'Integrable Hierarchies', 'Matrix Models']",Kazumi Okuyama,21,Journal of High Energy Physics,Education
161,"['Conformal Field Theory', 'Field Theories in Higher Dimensions', 'M-Theory', 'Supersymmetric Gauge Theory']",Lakshya Bhardwaj,15,Journal of High Energy Physics,Psychology
162,"['Critical literacy', 'Digital literacy practices', 'Problem-based learning']",Suzanna So Har Wong,65,Interchange,Mathematics
163,"['HIV infection', 'Adolescents', 'Adolescent HIV clinics', 'Adult ART clinics', 'Barriers', 'Facilitators', 'Transitioning HIV care', 'Transition experiences', 'Ethical challenges']",Scovia Nalugo Mbalinda & Derrick Lusota Amooti,283,BMC Medical Ethics,Criminology and Crime Justice
164,"['Automotive recall completion rates', 'Safety', 'Litigation', 'K14 (Litigation Process)', 'D12 (Consumer Economics: Empirical Analysis; Economics)']",Andrew M. Malec & Anson E. Smuts,40,Review of Industrial Organization,Education
165,"['Name fluency', 'Hedonic pricing', 'Real estate', 'Behavioral economics', 'R00', 'O18', 'P22', 'R21']",Sumit Agarwal,70,The Journal of Real Estate Finance and Economics,Physics
166,[],"P. Polimeno, A. Magazzù, M. A. Iatì, D. Bronte Ciriza, M. G. Donato, A. Foti, P. G. Gucciardi & O. M. Maragò",383,The European Physical Journal Plus,Physics
167,[],René van den Brink,598,Social Choice and Welfare,Psychology
168,"['Longitudinal self-report', 'Panel survey', 'NLSY97', 'Growth curve model', 'Cohort effect']",Jaeok Kim & Shawn D. Bushway,1316,Journal of Quantitative Criminology,Geography
169,"['School mental health', 'Training', 'Technical assistance', 'Evidence-based practices', 'COVID-19']","Jonathan R. Olson, Megan Lucy, Marianne A. Kellogg, Kelcey Schmitz, Taylor Berntson & Eric J. Bruns",1215,School Mental Health,Economics 2
170,"['Dynamic nature of psyche', 'Semiotic mediation', 'Normativity', 'Liminality', 'Resistance', 'Modal articulation']",Raffaele De Luca Picione,16,Human Arenas,Psychology 2
171,"['Digital survey', 'Reverse modelling', 'Best fitting circumferences', 'Virtual anastylosis', 'Villa Adriana']",B. Adembri,231,Applied Geomatics,Biomedicine
172,"['CIEDE2000', 'Color closeness', 'Color tolerance', 'DeltaE', 'CIELAB', 'ANFIS', 'Neuro-Fuzzy', 'Hybrid learning', 'Adam']",Jamaladdin Hasanov,27,Applied Intelligence,Psychology
173,"['COVID-19', 'SARS-CoV-2', 'Hyposmia', 'Hypogeusia', 'Neurovirulence']","Agathe Nouchi, Jacques Boddaert, Eric Caumes, Alexandre Bleibtreu & Valérie Pourcher",1569,European Journal of Clinical Microbiology & Infectious Diseases,Education
174,"['Pedestrian evacuation', 'Near-field tsunamis', 'Participatory mapping', 'Risk perception', 'Evacuation modeling']",Shannon M. Grumbly,109,Journal of Geovisualization and Spatial Analysis,Education
175,"['Crime script analysis', 'Situational crime prevention', 'Contract killings', 'Liquidations', 'Organized crime']",Laura R. de Korte,67,Trends in Organized Crime,Philosophy
176,"['bispecific antibody', 'immunoblocking', 'intestinal damage ulcerative colitis', 'IL-1β', 'IL-17A']","Qi Yin, Xuelei Pi, Guiping Ren, Zhihang Liu, Han Liu, Mengxia Wang, Wenying Sun, Siyu Li, Deshan Li & Jiechao Yin",0,Inflammation,Computer Science
177,"['Tax competition', 'Public goods', 'Partial cooperation', 'H26', 'H41']",Guillaume Claveres,72,International Tax and Public Finance,Psychology
178,"['Game-based learning', 'Heuristics', 'Think-aloud', 'Usability', 'Energy saving']",Chi-Cheng Chang,591,Journal of Computers in Education,Mathematics
179,"['Social networks', 'DeGroot learning', 'Dynamic network formation', 'Information transmission', 'Agent-based model', 'Crashes', 'D83', 'D85', 'Z13']",Phillip J. Monin,50,Journal of Economic Interaction and Coordination,Biomedicine
180,[],"T. Yeashna, R. K. Shikha, A. Mannan, S. Sultana & A. A. Mamun",0,The European Physical Journal D,Economics 2
181,"['Force-dependent optimization', 'Kinematics redundancy', 'Parameter estimation', 'Spinal stiffness', 'Spine']",Wei Wang & Dongmei Wang,74,Annals of Biomedical Engineering,Physics
182,"['Normality', 'Preface', 'Justification', 'Knowledge first', 'Agglomeration', 'Appearance and reality']",Sam Carter & Simon Goldstein,142,Philosophical Studies,Geography 2
183,"['Customer ethics', 'Insurance fraud', 'Automobile insurance', 'Health insurance', 'Workplace accident insurance']",Raquel Ribeiro,375,"Crime, Law and Social Change",Education
184,"['Echinocandin', 'Hematological malignancies', 'Invasive fungal infections', 'Network meta-analysis', 'Polyene', 'Prophylaxis', 'Triazole']","Huilan Zeng, Bing Yu, Bo Wang, Chengnian Wu, Jie Wu, Jing Lai & Xiaoyan Gao",87,BMC Cancer,Mathematics
185,"['Alcohol', 'Taxes', 'Wine policy', 'Wine regulations', 'E62', 'I18', 'P46', 'Q13']",Paola Corsinovi,114,Italian Economic Journal,Psychology
186,"['Branch prediction', 'Neural networks', 'Perceptron branch predictor', 'Branch mis-prediction rate', 'Branch accuracy rate', 'Pipeline']", Sweety & Prachi Chaudhary,9,The Journal of Supercomputing,Economics
187,[],Jean Claude Bajard,8,Journal of Cryptographic Engineering,Geography
188,"['COVID-19', 'Incarceration', 'Relational therapy', 'Telehealth']",Eman Tadros,48,Contemporary Family Therapy,Physics
189,"['Traumatic brain injury', 'Melatonin', 'Drp1', 'Mitochondria dysfunction', 'Neuroprotection', 'Repair']","Mohd. Salman, Pooja Kaushik & Suhel Parvez",222,Cellular and Molecular Neurobiology,Economics
190,"['Event effect', 'Investor sentiment', 'Stock market', 'Behavioral finance', 'Lockdown', 'Covid-19']",Radeef Chundakkadan,585,Financial Innovation,Economics
191,"['Faculty', 'Focus group interviews', 'Hidden curriculum', 'Medical students', 'Qualitative study', 'Saudi Arabia']","Sana Om Albachar Almairi, Muhammad Raihan Sajid, Rand Azouz, Reem Ramadan Mohamed, Mohammed Almairi & Tarig Fadul",15,Medical Science Educator,Philosophy
192,"['Polygon', 'triangle center', 'center function', 'center of a polygon', 'Primary 51M04', 'Secondary 51M15']",Luis Felipe Prieto-Martínez,24,Results in Mathematics,Geography 2
193,"['Retail Environment', 'Shoplifters', 'Security Tags', 'Tagging Scheme', 'Backward Citation Searches']","Aiden Sidebottom, Amy Thornton, Lisa Tompson, Jyoti Belur, Nick Tilley & Kate Bowers",10000,Crime Science,Biomedicine
194,"['Pavlovian conditioning', 'Rescorla', 'Wagner model', 'Dynamical oscillatory model', 'Individual differences', 'Bayesian information criterion']",Gianluca Calcagni,9,Computational Brain & Behavior,Computer Science
195,"['Noncrossing arc diagrams', 'Tamari lattices', 'Congruence-uniform lattices', 'Trim lattices', 'Core label order', 'Parabolic quotients', 'Symmetric group', '06B05', '05E15']",Henri Mühle,68,Annals of Combinatorics,Psychology 2
196,"['Spatial Durbin model', 'Spatial spillover effects', 'Spatial weight matrix', 'Road transport']",Zeynep Elburz & K. Mert Cubukcu,235,Spatial Information Research,Psychology 2
197,"['Terrorist networks', 'Dynamic networks', 'Transitivity', 'Central hubs', 'Efficiency', 'Security']",Cassie McMillan & Diane Felmlee,935,Journal of Quantitative Criminology,Psychology 2
198,"['Researcher identity', 'Meta-theories', 'Identity dimensions', 'Theories', 'Identity']",Montserrat Castelló & Anna Sala-Bubaré,3110,Higher Education,Psychology
199,"['Product design', 'Consumer evaluation', 'Culture', 'Repertory grid', 'Cross-cultural comparison']",Pinyan Tang,28,International Journal of Technology and Design Education,Philosophy
200,"['Black Holes', 'Black Holes in String Theory', 'Gauge-gravity correspondence', 'Global Symmetries']",Daniel Harlow,0,Journal of High Energy Physics,Computer Science
201,"['Engineering students', 'Mathematics', 'Affective dispositions', 'Cognitive dispositions', 'Support measures', 'Supply-use model']",Andreas Eichler & Julia Gradwohl,263,International Journal of Research in Undergraduate Mathematics Education,Philosophy
202,"['Ordoliberalism', 'Freiburg school', 'European sovereign-debt crisis', 'PPE', 'B29', 'E61', 'P16']",K. Horn,736,The Review of Austrian Economics,Psychology 2
203,"['Coronavirus', 'Structural Bayesian Time-Series', 'Communities', 'Sars-CoV-2', 'Pandemic', 'Crime trends']",Gian Maria Campedelli,5038,Crime Science,Computer Science
204,"['License plate readers', 'Policing', 'Hot spots', 'Randomized experiment', 'Technology', 'Patrol']",Christopher S. Koper,238,Journal of Experimental Criminology,Psychology 2
205,"['Gauge-gravity correspondence', 'AdS-CFT Correspondence', 'Nonperturbative Effects']",Jorge Casalderrey-Solana & David Mateos,34,Journal of High Energy Physics,Biomedicine
206,"['Incongruence', 'Power distance', 'Strain', 'Job performance', 'Supervisor-subordinate dyads', 'Role theory', 'Transactional model']",Orlando Richard,270,Journal of Business and Psychology,Mathematics
207,"['Malaria', 'GIS mapping', 'Spatial modelling', 'Vishakhapatnam', 'Andhra Pradesh']","Rajasekhar Mopuri, Srinivasa Rao Mutheneni, Sriram Kumaraswamy & Madhusudhan Rao Kadiri",112,Spatial Information Research,Computer Science
208,"['COVID-19', 'Seignorage', 'Deficits', 'Government debt', 'Optimal taxation', 'Central bank independence', 'Quantitative easing', 'Fiscal institutions', 'Inflation and deflation', 'E5', 'E62', 'E63', 'E31', 'H21', 'H12', 'H6']",Alex Cukierman,78,Comparative Economic Studies,Education
209,"['COVID-19', 'Mortality', 'Infections', 'Non-pharmaceutical interventions', 'United States', 'I1', 'I10', 'I18']",Catalina Amuedo-Dorantes,288,Journal of Population Economics,Geography 2
210,"['Animal welfare', 'Climate change mitigation', 'Environmental impact', 'Food systems', 'University of California', 'US egg industry']","David Arthur Cleveland, Quentin Gee & Lauren Weichert",390,Agriculture and Human Values,Biomedicine
211,"['Discontinuous Galerkin', 'Grid adaptivity', 'Multiwavelets', 'Multiresolution analysis', 'Conservation laws', '35L65', '65M60']","Nils Gerhard, Siegfried Müller & Aleksey Sikstel",6,Communications on Applied Mathematics and Computation,Philosophy
212,"['Medical education', 'Paediatrics', 'Assessment', 'Competence']",Patrick McCrossan & Dara O’Donoghue,161,BMC Medical Education,Philosophy
213,"['Self-compacting concrete', 'Nano-silica', 'Compressive strength', 'Curing time', 'Modeling', 'Sensitivity']","Rabar H. Faraj, Azad A. Mohammed, Ahmed Mohammed & Hemn Unis Ahmed",81,Engineering with Computers,Computer Science
214,"['AHP MCDA', 'GIS', 'Decision support system', 'Landfill site', 'SWM']","Md Mainul Sk, Sk Ajim Ali & Ateeque Ahmad",1347,KN - Journal of Cartography and Geographic Information,Mathematics
215,[],Preston Greene,65,Review of Philosophy and Psychology,Garbage
216,"['Generalized Autoregressive Conditional Heteroskedastic Model (GARCH)', 'Decision tree', 'Support vector machine', 'Bitcoin price']",Ting-Hsuan Chen & Guan-Ting Du,264,Computational Economics,Computer Science
217,"['Green human resource management practices', 'Corporate environmental strategy', 'Environmental knowledge', 'Pro-environmental behaviors', 'Psychological green climate environmental performance']",Shumaila Naz,216,Current Psychology,Mathematics
218,"['Simulation', 'Option pricing', 'Quasi-Monte Carlo methods', 'Smoothing', 'Dimension reduction']",Zhijian He,242,Computational Economics,Psychology
219,"['Research practice', 'Research culture', 'Institutions', 'Research integrity', 'Research ethics']",Govert Valkenburg & Sarah de Rijcke,1736,Science and Engineering Ethics,Physics
220,"['Bullying Participant Behavior Questionnaire', 'Bullying role', 'Bullying participant', 'Bullying', 'Factor analysis']",Lyndsay N. Jenkins,22,International Journal of Bullying Prevention,Philosophy
221,"['Categorical imperative', 'Ethics', 'Kant', 'Kierkegaard']",Morgan Keith Jackson,60,Philosophia,Biomedicine
222,"['E-learning', 'Quality', 'Learning content', 'Learners’ satisfaction', 'Website content', 'COVID-19']",Pardeep Kumar & Charu Saxena,69,Smart Learning Environments,Computer Science
223,"['Spatial matching function', 'Spatial correlation', 'Urban labor market', 'J23', 'J64', 'R12', 'E24']",Marcin Wozniak,144,Journal for Labour Market Research,Mathematics
224,"['Continuous time moving average', 'Gaussian processes', 'Model selection', 'Nonparametric estimation', 'Projection estimators', '62G05', '62M09']",Fabienne Comte & Valentine Genon-Catalot,78,Statistical Inference for Stochastic Processes,Education
225,"['Point aggregation', 'Spatial visualization', 'Big spatial point data']","Christian Beilschmidt, Michael Mattig, Thomas Fober & Bernhard Seeger",419,GeoInformatica,Physics 2
226,"['Image denoising', 'Discrete shearlet transform', 'Convolutional neural networks', 'Gaussian noise']",Zhiyu Lyu,0,Multimedia Systems,Education
227,"['stable isotope', 'water source', 'water availability', 'water-use efficiency', 'soil water', 'desert steppe']","Haiying Hu, Lin Zhu & Yingzhong Xie",40,Journal of Arid Land,Philosophy
228,"['Creative social media use', 'Knowledge of Covid-19 precautions online', 'Covid-19 prevention', 'SEM approach', 'Bangladesh']",Md. Monirul Islam,535,Social Network Analysis and Mining,Physics 2
229,"['Convex programming', 'Pipelining', 'Retiming', 'Gate-sizing']",Srinath R. Naidu,16,Optimization and Engineering,Psychology 2
230,"['Three-tools operation', 'Foot control', 'Teleoperation', 'Endoscope manipulation', 'Robot-assisted surgery']","Yanpei Huang, Wenjie Lai, Lin Cao, Jiajun Liu, Xiaoguo Li & Soo Jay Phee",39,Annals of Biomedical Engineering,Geography
231,"['Continuous Fourier multiplier', 'Algebra of convolution type operators', 'Hardy-Littlewood maximal operator', 'Rank one operator', 'Separable Banach function space', 'Lorentz space', 'Primary 47G10', '46E30', 'Secondary 42A45']",Alexei Karlovich,26,Integral Equations and Operator Theory,Philosophy
232,[],Joseph Rivera,64,Continental Philosophy Review,Philosophy
233,"['Risk management', 'Safe-by-design', 'Forward-looking responsibility', 'GMO regulation', 'Precautionary principle']",Britte Bouchaut & Lotte Asveld,384,Science and Engineering Ethics,Psychology 2
234,"['\nStenotrophomonas maltophilia\n', 'Antibiotic resistance', 'Biofilm', 'Biofilm formation genes']",Narjess Bostanghadiri & Samane Teymouri,0,BMC Research Notes,Psychology
